Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/100 [00:00<?, ?it/s]Loading weights: 100%|██████████| 100/100 [00:00<00:00, 15451.48it/s]
[1mDistilBertForSequenceClassification LOAD REPORT[0m from: distilbert-base-uncased
Key                     | Status     | 
------------------------+------------+-
vocab_layer_norm.weight | UNEXPECTED | 
vocab_layer_norm.bias   | UNEXPECTED | 
vocab_transform.weight  | UNEXPECTED | 
vocab_transform.bias    | UNEXPECTED | 
vocab_projector.bias    | UNEXPECTED | 
classifier.bias         | MISSING    | 
pre_classifier.weight   | MISSING    | 
pre_classifier.bias     | MISSING    | 
classifier.weight       | MISSING    | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.
- MISSING[3m	:those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.[0m
Epoch 1/3 | Batch 144/826 | Loss: 0.6277
Epoch 1/3 | Batch 145/826 | Loss: 0.6218
Epoch 1/3 | Batch 146/826 | Loss: 0.6434
Epoch 1/3 | Batch 147/826 | Loss: 0.5924
Epoch 1/3 | Batch 148/826 | Loss: 0.6492
Epoch 1/3 | Batch 149/826 | Loss: 0.6140
Epoch 1/3 | Batch 150/826 | Loss: 0.6201
Epoch 1/3 | Batch 151/826 | Loss: 0.6713
Epoch 1/3 | Batch 152/826 | Loss: 0.6467
Epoch 1/3 | Batch 153/826 | Loss: 0.6599
Epoch 1/3 | Batch 154/826 | Loss: 0.6307
Epoch 1/3 | Batch 155/826 | Loss: 0.6335
Epoch 1/3 | Batch 156/826 | Loss: 0.5953
Epoch 1/3 | Batch 157/826 | Loss: 0.6416
Epoch 1/3 | Batch 158/826 | Loss: 0.6185
Epoch 1/3 | Batch 159/826 | Loss: 0.6347
Epoch 1/3 | Batch 160/826 | Loss: 0.6528
Epoch 1/3 | Batch 161/826 | Loss: 0.6387
Epoch 1/3 | Batch 162/826 | Loss: 0.5892
Epoch 1/3 | Batch 163/826 | Loss: 0.6441
Epoch 1/3 | Batch 164/826 | Loss: 0.6320
Epoch 1/3 | Batch 165/826 | Loss: 0.6036
Epoch 1/3 | Batch 166/826 | Loss: 0.5870
Epoch 1/3 | Batch 167/826 | Loss: 0.5782
Epoch 1/3 | Batch 168/826 | Loss: 0.5604
Epoch 1/3 | Batch 169/826 | Loss: 0.5498
Epoch 1/3 | Batch 170/826 | Loss: 0.6034
Epoch 1/3 | Batch 171/826 | Loss: 0.6179
Epoch 1/3 | Batch 172/826 | Loss: 0.5830
Epoch 1/3 | Batch 173/826 | Loss: 0.6039
Epoch 1/3 | Batch 174/826 | Loss: 0.5637
Epoch 1/3 | Batch 175/826 | Loss: 0.6000
Epoch 1/3 | Batch 176/826 | Loss: 0.5873
Epoch 1/3 | Batch 177/826 | Loss: 0.6365
Epoch 1/3 | Batch 178/826 | Loss: 0.6214
Epoch 1/3 | Batch 179/826 | Loss: 0.6153
Epoch 1/3 | Batch 180/826 | Loss: 0.5550
Epoch 1/3 | Batch 181/826 | Loss: 0.6000
Epoch 1/3 | Batch 182/826 | Loss: 0.6797
Epoch 1/3 | Batch 183/826 | Loss: 0.6009
Epoch 1/3 | Batch 184/826 | Loss: 0.5939
Epoch 1/3 | Batch 185/826 | Loss: 0.6323
Epoch 1/3 | Batch 186/826 | Loss: 0.6145
Epoch 1/3 | Batch 187/826 | Loss: 0.6038
Epoch 1/3 | Batch 188/826 | Loss: 0.5637
Epoch 1/3 | Batch 189/826 | Loss: 0.5483
Epoch 1/3 | Batch 190/826 | Loss: 0.5880
Epoch 1/3 | Batch 191/826 | Loss: 0.6834
Epoch 1/3 | Batch 192/826 | Loss: 0.4657
Epoch 1/3 | Batch 193/826 | Loss: 0.6312
Epoch 1/3 | Batch 194/826 | Loss: 0.5771
Epoch 1/3 | Batch 195/826 | Loss: 0.5918
Epoch 1/3 | Batch 196/826 | Loss: 0.5594
Epoch 1/3 | Batch 197/826 | Loss: 0.6123
Epoch 1/3 | Batch 198/826 | Loss: 0.5359
Epoch 1/3 | Batch 199/826 | Loss: 0.6732
Epoch 1/3 | Batch 200/826 | Loss: 0.5857
Epoch 1/3 | Batch 201/826 | Loss: 0.5159
Epoch 1/3 | Batch 202/826 | Loss: 0.5659
Epoch 1/3 | Batch 203/826 | Loss: 0.5950
Epoch 1/3 | Batch 204/826 | Loss: 0.5252
Epoch 1/3 | Batch 205/826 | Loss: 0.5015
Epoch 1/3 | Batch 206/826 | Loss: 0.6382
Epoch 1/3 | Batch 207/826 | Loss: 0.6022
Epoch 1/3 | Batch 208/826 | Loss: 0.5615
Epoch 1/3 | Batch 209/826 | Loss: 0.5959
Epoch 1/3 | Batch 210/826 | Loss: 0.5906
Epoch 1/3 | Batch 211/826 | Loss: 0.5377
Epoch 1/3 | Batch 212/826 | Loss: 0.5736
Epoch 1/3 | Batch 213/826 | Loss: 0.6848
Epoch 1/3 | Batch 214/826 | Loss: 0.5553
Epoch 1/3 | Batch 215/826 | Loss: 0.5996
Epoch 1/3 | Batch 216/826 | Loss: 0.5574
Epoch 1/3 | Batch 217/826 | Loss: 0.5142
Epoch 1/3 | Batch 218/826 | Loss: 0.4763
Epoch 1/3 | Batch 219/826 | Loss: 0.5432
Epoch 1/3 | Batch 220/826 | Loss: 0.5957
Epoch 1/3 | Batch 221/826 | Loss: 0.5321
Epoch 1/3 | Batch 222/826 | Loss: 0.5117
Epoch 1/3 | Batch 223/826 | Loss: 0.4933
Epoch 1/3 | Batch 224/826 | Loss: 0.5525
Epoch 1/3 | Batch 225/826 | Loss: 0.5779
Epoch 1/3 | Batch 226/826 | Loss: 0.4752
Epoch 1/3 | Batch 227/826 | Loss: 0.5747
Epoch 1/3 | Batch 228/826 | Loss: 0.5870
Epoch 1/3 | Batch 229/826 | Loss: 0.6008
Epoch 1/3 | Batch 230/826 | Loss: 0.4850
Epoch 1/3 | Batch 231/826 | Loss: 0.6058
Epoch 1/3 | Batch 232/826 | Loss: 0.5677
Epoch 1/3 | Batch 233/826 | Loss: 0.5342
Epoch 1/3 | Batch 234/826 | Loss: 0.5978
Epoch 1/3 | Batch 235/826 | Loss: 0.4697
Epoch 1/3 | Batch 236/826 | Loss: 0.5074
Epoch 1/3 | Batch 237/826 | Loss: 0.4909
Epoch 1/3 | Batch 238/826 | Loss: 0.6271
Epoch 1/3 | Batch 239/826 | Loss: 0.5818
Epoch 1/3 | Batch 240/826 | Loss: 0.4933
Epoch 1/3 | Batch 241/826 | Loss: 0.5572
Epoch 1/3 | Batch 242/826 | Loss: 0.5481
Epoch 1/3 | Batch 243/826 | Loss: 0.5391
Epoch 1/3 | Batch 244/826 | Loss: 0.5935
Epoch 1/3 | Batch 245/826 | Loss: 0.5347
Epoch 1/3 | Batch 246/826 | Loss: 0.4924
Epoch 1/3 | Batch 247/826 | Loss: 0.4876
Epoch 1/3 | Batch 248/826 | Loss: 0.6538
Epoch 1/3 | Batch 249/826 | Loss: 0.6489
Epoch 1/3 | Batch 250/826 | Loss: 0.5004
Epoch 1/3 | Batch 251/826 | Loss: 0.4579
Epoch 1/3 | Batch 252/826 | Loss: 0.4622
Epoch 1/3 | Batch 253/826 | Loss: 0.5063
Epoch 1/3 | Batch 254/826 | Loss: 0.4379
Epoch 1/3 | Batch 255/826 | Loss: 0.4924
Epoch 1/3 | Batch 256/826 | Loss: 0.5410
Epoch 1/3 | Batch 257/826 | Loss: 0.4464
Epoch 1/3 | Batch 258/826 | Loss: 0.5260
Epoch 1/3 | Batch 259/826 | Loss: 0.5468
Epoch 1/3 | Batch 260/826 | Loss: 0.5711
Epoch 1/3 | Batch 261/826 | Loss: 0.4934
Epoch 1/3 | Batch 262/826 | Loss: 0.5430
Epoch 1/3 | Batch 263/826 | Loss: 0.5928
Epoch 1/3 | Batch 264/826 | Loss: 0.5457
Epoch 1/3 | Batch 265/826 | Loss: 0.4746
Epoch 1/3 | Batch 266/826 | Loss: 0.6235
Epoch 1/3 | Batch 267/826 | Loss: 0.5328
Epoch 1/3 | Batch 268/826 | Loss: 0.4854
Epoch 1/3 | Batch 269/826 | Loss: 0.4726
Epoch 1/3 | Batch 270/826 | Loss: 0.6173
Epoch 1/3 | Batch 271/826 | Loss: 0.5176
Epoch 1/3 | Batch 272/826 | Loss: 0.4482
Epoch 1/3 | Batch 273/826 | Loss: 0.4720
Epoch 1/3 | Batch 274/826 | Loss: 0.4664
Epoch 1/3 | Batch 275/826 | Loss: 0.5176
Epoch 1/3 | Batch 276/826 | Loss: 0.4900
Epoch 1/3 | Batch 277/826 | Loss: 0.4797
Epoch 1/3 | Batch 278/826 | Loss: 0.4817
Epoch 1/3 | Batch 279/826 | Loss: 0.4601
